title,link,date
"Gaming PC : AMD 9800X3D, Gigabyte RTX 5080, B850M Mobo, 32GB RAM, 1TB SSD, 850W Gold PSU $3396 + Del ( $0 SYD C&C) @ UMKLOGIX",https://www.ozbargain.com.au/node/959839,19/05/2026
"Gaming PC : RTX5080, 7800X3D, 240 AIO, 32G C28 DDR5 RAM, B850M, 2TB SSD, 850W PSU $3849 / $2130 BYO GPU + Del (VIC C&C) @ Evatech",https://www.ozbargain.com.au/node/959360,15/05/2026
"Gaming PC : R5 8400F, RX 9070, 16GB RAM, 500GB SSD $1649 | R7 9800X3D, RTX 5070 Ti, 32GB RAM, 1TB SSD $2929 Shipped @ Radium PCs",https://www.ozbargain.com.au/node/959242,14/05/2026
"Gaming PC : R7 9800X3D, RTX 5070 Ti, 240 AIO, 32GB (2x16) RAM, 1TB SSD, 850W Gold PSU $2998 | $1698 BYO GPU + $50 Del @ Nebula PC",https://www.ozbargain.com.au/node/958442,08/05/2026
Gaming PCs: R7 9800X3D (BYO GPU) $1829 / R5 8400F + RTX 5060 Ti $1488 Delivered + $30 Cashback with Bank Transfer @ Radium PCs,https://www.ozbargain.com.au/node/958200,06/05/2026
"Gaming PC : 9800X3D, RTX5070 Ti, 240 AIO, 32GB DDR5 RAM, B850M, 1TB SSD, 850W PSU $3199 / $1910 BYO GPU + Del (VIC C&C) @ Evatech",https://www.ozbargain.com.au/node/957908,04/05/2026
"Gaming PC : R5 5600, RX 9060 XT 16GB, 1TB Gen4 SSD, 16GB (2x8GB) RGB RAM, B550M Wi-Fi Mobo: $1288 + $50 Delivery @ Nebula PC",https://www.ozbargain.com.au/node/957621,01/05/2026
"Gaming PC : R5 7500F, RTX 5070, 1TB SSD, 16GB RAM, B650EM-A Mobo, Free PRAGMATA Game $1948 | 32GB RAM $2148 + $50 Del @ Nebula PC",https://www.ozbargain.com.au/node/956743,24/04/2026
"Gaming PC : R5 7500F, RTX 5070, 16GB RAM, 1TB SSD + Headset $1999 Delivered, $30 Cashback with Bank Transfer Payment @ Radium PCs",https://www.ozbargain.com.au/node/956596,23/04/2026
"Gaming PC : AMD R7 7800X3D, RTX 5070 Ti, 1TB Gen4 SSD, 32GB RAM, B850M Wi-Fi Mobo $2989 Delivered @ G-ONE Computer",https://www.ozbargain.com.au/node/955268,11/04/2026
"Gaming PC : 7800X3D, RTX 5070 Ti, 32GB 6000/C36 DDR5, B850M WiFi, 1TB SSD, 750W $2999 / $1694 BYO GPU + Del (VIC C&C) @ Evatech",https://www.ozbargain.com.au/node/955129,10/04/2026
"Gaming PC : AMD R5 7500F, RTX 5070, 1TB Gen4 SSD, 32GB RAM, B650M Wi-Fi Mobo, 750W Bronze PSU: $2149 + $38 Del @ G-ONE Computer",https://www.ozbargain.com.au/node/954897,08/04/2026
"Gaming PC : R5 7500F, RX 9060 XT 16GB, 1TB Gen4 SSD, 32GB RAM, B650M GAMING PLUS Mobo, 650W PSU: $1648 + $50 Del @ Nebula PC",https://www.ozbargain.com.au/node/953346,25/03/2026
"Gaming PC : R7 7800X3D, RTX 5080, 1TB Gen4 SSD, TUF B650EM-E, 32GB 6000MHz RAM, 360mm AIO, Free Game $3398 + $50 Del @ Nebula PC",https://www.ozbargain.com.au/node/953083,23/03/2026
